PC=0000000000000000, ---
PC=0000000000000088, REG[ 2]=0000000000000004
PC=000000000000008c, REG[ 3]=0000000000001000
PC=0000000000000090, REG[ 4]=0000000000000000
PC=0000000000000094, REG[ 4]=0000000000000000
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000004
PC=00000000000000a4, ---
